Distance,3min,3min_sim,6min,6min_sim,10min,10min_sim,15min,15min_sim,50min_sim,100min_sim,200min_sim,
6.71938e+01,1.91530e+01,1.92567e+01,1.90862e+01,1.92726e+01,1.91495e+01,1.92835e+01,1.91668e+01,1.92901e+01,1.92647e+01,1.91964e+01,1.90938e+01,
6.77038e+01,1.91229e+01,1.92365e+01,1.90715e+01,1.92578e+01,1.91373e+01,1.92720e+01,1.91601e+01,1.92808e+01,1.92605e+01,1.91940e+01,1.90926e+01,
6.81769e+01,1.90930e+01,1.92170e+01,1.90574e+01,1.92438e+01,1.91257e+01,1.92611e+01,1.91538e+01,1.92720e+01,1.92565e+01,1.91918e+01,1.90914e+01,
6.87737e+01,1.90521e+01,1.91915e+01,1.90389e+01,1.92255e+01,1.91105e+01,1.92471e+01,1.91458e+01,1.92607e+01,1.92514e+01,1.91889e+01,1.90899e+01,
6.92919e+01,1.90131e+01,1.91684e+01,1.90222e+01,1.92092e+01,1.90969e+01,1.92346e+01,1.91387e+01,1.92507e+01,1.92469e+01,1.91864e+01,1.90885e+01,
6.98438e+01,1.89673e+01,1.91429e+01,1.90037e+01,1.91913e+01,1.90819e+01,1.92210e+01,1.91310e+01,1.92398e+01,1.92420e+01,1.91836e+01,1.90870e+01,
7.05266e+01,1.89200e+01,1.91100e+01,1.89796e+01,1.91685e+01,1.90627e+01,1.92037e+01,1.91213e+01,1.92261e+01,1.92359e+01,1.91802e+01,1.90852e+01,
7.12537e+01,1.88853e+01,1.90733e+01,1.89532e+01,1.91433e+01,1.90426e+01,1.91848e+01,1.91101e+01,1.92111e+01,1.92292e+01,1.91764e+01,1.90832e+01,
7.17719e+01,1.88588e+01,1.90460e+01,1.89363e+01,1.91248e+01,1.90311e+01,1.91710e+01,1.91003e+01,1.92002e+01,1.92244e+01,1.91737e+01,1.90818e+01,
7.23238e+01,1.88287e+01,1.90160e+01,1.89174e+01,1.91046e+01,1.90185e+01,1.91559e+01,1.90897e+01,1.91883e+01,1.92191e+01,1.91707e+01,1.90802e+01,
7.30066e+01,1.87882e+01,1.89773e+01,1.88929e+01,1.90788e+01,1.90024e+01,1.91369e+01,1.90761e+01,1.91733e+01,1.92125e+01,1.91670e+01,1.90782e+01,
7.37338e+01,1.87495e+01,1.89343e+01,1.88652e+01,1.90504e+01,1.89846e+01,1.91160e+01,1.90611e+01,1.91570e+01,1.92054e+01,1.91630e+01,1.90761e+01,
7.43794e+01,1.87159e+01,1.88946e+01,1.88390e+01,1.90244e+01,1.89681e+01,1.90970e+01,1.90473e+01,1.91422e+01,1.91989e+01,1.91594e+01,1.90742e+01,
7.49738e+01,1.86825e+01,1.88566e+01,1.88142e+01,1.89998e+01,1.89523e+01,1.90791e+01,1.90343e+01,1.91282e+01,1.91929e+01,1.91560e+01,1.90724e+01,
7.56566e+01,1.86406e+01,1.88113e+01,1.87855e+01,1.89707e+01,1.89335e+01,1.90580e+01,1.90198e+01,1.91119e+01,1.91858e+01,1.91520e+01,1.90703e+01,
7.63448e+01,1.85945e+01,1.87639e+01,1.87546e+01,1.89405e+01,1.89179e+01,1.90362e+01,1.90057e+01,1.90951e+01,1.91786e+01,1.91480e+01,1.90681e+01,
